,equity
2020-03-12,61980.97272196571
2020-03-13,62024.22862974273
2020-03-16,62024.22862974273
2020-03-17,62024.22862974273
2020-03-18,62024.22862974273
2020-03-19,62024.22862974273
2020-03-20,62024.22862974273
2020-03-23,62024.22862974273
2020-03-24,62024.22862974273
2020-03-25,62024.22862974273
2020-03-26,62037.85207387276
2020-03-27,62139.96453136952
2020-03-30,62030.3612355113
2020-03-31,61635.41866212793
2020-04-01,61892.605341189395
2020-04-02,62125.136298419486
2020-04-03,62040.057087001194
2020-04-06,61402.947262831745
2020-04-07,61888.90145831
2020-04-08,61764.004842312264
2020-04-09,60798.42796692312
2020-04-10,61641.92207605781
2020-04-13,62407.183232731826
2020-04-14,62691.76595959872
2020-04-15,63074.57032733796
2020-04-16,63034.27272199864
2020-04-17,63009.96276298937
2020-04-20,63260.006191502325
2020-04-21,63151.756989522924
2020-04-22,63291.19312904122
2020-04-23,62897.27410950981
2020-04-24,63101.521616070306
2020-04-27,63345.4155836124
2020-04-28,63093.23408411305
2020-04-29,62710.06648126157
2020-04-30,62468.89488262104
2020-05-01,63392.71178102073
2020-05-04,63032.29084470838
2020-05-05,63725.77044721541
2020-05-06,63535.561314357255
2020-05-07,64662.4963020522
2020-05-08,64639.40571440934
2020-05-11,64717.87859513225
2020-05-12,64911.60275408969
2020-05-13,64875.24718633946
2020-05-14,64850.10823853718
2020-05-15,64938.583151324114
2020-05-18,64639.36886848812
2020-05-19,64741.16330516289
2020-05-20,64728.13259411057
2020-05-21,64631.49331205371
2020-05-22,64866.65840600396
2020-05-25,64647.81556891343
2020-05-26,64902.30063520875
2020-05-27,65122.53507711851
2020-05-28,64268.94333210153
2020-05-29,64904.90727527358
2020-06-01,66564.01856034076
2020-06-02,66478.38716335845
2020-06-03,66216.78793259081
2020-06-04,66254.36058062867
2020-06-05,66536.63082472558
2020-06-08,66600.34181619721
2020-06-09,66673.7342790637
2020-06-10,66731.20097315685
2020-06-11,67145.02779923008
2020-06-12,67113.92666914997
2020-06-15,67058.3785440337
2020-06-16,67281.98881618764
2020-06-17,67127.3205826897
2020-06-18,66578.60483226499
2020-06-19,66525.49525055694
2020-06-22,66634.82152237609
2020-06-23,66685.85171786278
2020-06-24,66403.36040422358
2020-06-25,67140.13852353721
2020-06-26,67047.96888351765
2020-06-29,67262.53627745109
2020-06-30,66070.98534890077
2020-07-01,66172.19897158316
2020-07-02,65011.081216464285
2020-07-03,65744.932617422
2020-07-06,65284.53814055854
2020-07-07,65020.624744860266
2020-07-08,65719.23649905407
2020-07-09,65555.15919187444
2020-07-10,64496.57776959458
2020-07-13,64747.027464557534
2020-07-14,66102.65641288072
2020-07-15,66107.311464473
2020-07-16,66886.99470316888
2020-07-17,66886.99470316888
2020-07-20,66886.99470316888
2020-07-21,66886.99470316888
2020-07-22,66886.99470316888
2020-07-23,66861.1746442493
2020-07-24,66913.51411248681
2020-07-27,67307.43413023501
2020-07-28,67265.67934403717
2020-07-29,67236.68380706749
2020-07-30,67343.14081005662
2020-07-31,67614.48305336865
2020-08-03,67569.61252160968
2020-08-04,67532.47598023918
2020-08-05,67158.52525059973
2020-08-06,67077.21171071118
2020-08-07,66982.67466443357
2020-08-10,67018.3756414521
2020-08-11,66824.08258026703
2020-08-12,66680.81880759937
2020-08-13,66541.61217025128
2020-08-14,66593.5606520008
2020-08-17,66637.80550777807
2020-08-18,66687.57497590354
2020-08-19,66599.19362721928
2020-08-20,66438.39420733607
2020-08-21,66438.39420733607
2020-08-24,66438.39420733607
2020-08-25,66438.39420733607
2020-08-26,66438.39420733607
2020-08-27,66438.39420733607
2020-08-28,66438.39420733607
2020-08-31,66438.39420733607
2020-09-01,66478.38539554756
2020-09-02,66718.07550853521
2020-09-03,66766.76862473515
2020-09-04,66862.04672831543
2020-09-07,66871.77479812596
2020-09-08,66753.57778929565
2020-09-09,66788.59083962413
2020-09-10,66994.32400968231
2020-09-11,67006.18067625508
2020-09-14,66665.40409435473
2020-09-15,67003.37480664655
2020-09-16,67379.10469693222
2020-09-17,67097.28875696179
2020-09-18,67208.17195781865
2020-09-21,66818.4813423713
2020-09-22,66819.32723356923
2020-09-23,66336.73809677442
2020-09-24,67047.50605741105
2020-09-25,67047.34944465649
2020-09-28,67213.41961950908
2020-09-29,68284.9994730924
2020-09-30,68365.12942082371
2020-10-01,68328.23034458846
2020-10-02,68363.1387753615
2020-10-05,68521.81700651544
2020-10-06,68540.10566823617
2020-10-07,68227.7276005147
2020-10-08,68918.06797173625
2020-10-09,68995.7806768046
2020-10-12,69043.33176001602
2020-10-13,68882.97324755548
2020-10-14,68837.77183145257
2020-10-15,68677.01967411475
2020-10-16,68957.98536171475
2020-10-19,69306.51711137473
2020-10-20,69127.5382843314
2020-10-21,69097.0704019225
2020-10-22,68824.1058314445
2020-10-23,68915.9396697627
2020-10-26,68746.54404934178
2020-10-27,68639.65079196721
2020-10-28,68102.68440687902
2020-10-29,67523.75123048169
2020-10-30,68676.98772400616
2020-11-02,70510.08678171238
2020-11-03,70453.79925234077
2020-11-04,70324.38269466837
2020-11-05,70480.26610893912
2020-11-06,70875.26804453744
2020-11-09,70869.24785808734
2020-11-10,70767.1077733738
2020-11-11,70476.82169834225
2020-11-12,70371.30927493463
2020-11-13,70460.42928286472
2020-11-16,70728.78772581181
2020-11-17,70719.9170269629
2020-11-18,70842.2953254266
2020-11-19,71327.87219880178
2020-11-20,70141.31845474587
2020-11-23,69113.10971520441
2020-11-24,68453.21402351018
2020-11-25,68744.28408754649
2020-11-26,68403.97385721774
2020-11-27,68124.62218166693
2020-11-30,67912.03615071389
2020-12-01,67263.7022469672
2020-12-02,66952.51500503713
2020-12-03,66601.87624432104
2020-12-04,66310.35083507905
2020-12-07,66310.35083507905
2020-12-08,66310.35083507905
2020-12-09,66310.35083507905
2020-12-10,66310.35083507905
2020-12-11,66310.35083507905
2020-12-14,66310.35083507905
2020-12-15,66310.35083507905
2020-12-16,66310.35083507905
2020-12-17,66310.35083507905
2020-12-18,66310.35083507905
2020-12-21,66310.35083507905
2020-12-22,66310.35083507905
2020-12-23,66310.35083507905
2020-12-24,66310.35083507905
2020-12-25,66310.35083507905
2020-12-28,66310.35083507905
2020-12-29,66310.35083507905
2020-12-30,66310.35083507905
2020-12-31,66310.35083507905
2021-01-01,66310.35083507905
2021-01-04,66310.35083507905
2021-01-05,66310.35083507905
2021-01-06,66310.35083507905
2021-01-07,66310.35083507905
2021-01-08,66310.35083507905
2021-01-11,66310.35083507905
2021-01-12,66310.35083507905
2021-01-13,66310.35083507905
2021-01-14,66310.35083507905
2021-01-15,66310.35083507905
2021-01-18,66310.35083507905
2021-01-19,66310.35083507905
2021-01-20,66310.35083507905
2021-01-21,66310.35083507905
2021-01-22,66310.35083507905
2021-01-25,66310.35083507905
2021-01-26,66310.35083507905
2021-01-27,66310.35083507905
2021-01-28,66310.35083507905
2021-01-29,66310.35083507905
2021-02-01,66310.35083507905
2021-02-02,66310.35083507905
2021-02-03,66310.35083507905
2021-02-04,66310.35083507905
2021-02-05,66310.35083507905
2021-02-08,66310.35083507905
2021-02-09,66310.35083507905
2021-02-10,66310.35083507905
2021-02-11,66310.35083507905
2021-02-12,66310.35083507905
2021-02-15,66310.35083507905
2021-02-16,66310.35083507905
2021-02-17,66310.35083507905
2021-02-18,66310.35083507905
2021-02-19,66310.35083507905
2021-02-22,66310.35083507905
2021-02-23,66310.35083507905
2021-02-24,66310.35083507905
2021-02-25,66310.35083507905
2021-02-26,66310.35083507905
2021-03-01,66310.35083507905
2021-03-02,66310.35083507905
2021-03-03,66310.35083507905
2021-03-04,66310.35083507905
2021-03-05,66310.35083507905
2021-03-08,66310.35083507905
2021-03-09,66310.35083507905
2021-03-10,66310.35083507905
2021-03-11,66310.35083507905
2021-03-12,66310.35083507905
2021-03-15,66310.35083507905
2021-03-16,66310.35083507905
2021-03-17,66310.35083507905
2021-03-18,66310.35083507905
2021-03-19,66310.35083507905
2021-03-22,66310.35083507905
2021-03-23,66310.35083507905
2021-03-24,66310.35083507905
2021-03-25,66310.35083507905
2021-03-26,66310.35083507905
2021-03-29,66310.35083507905
2021-03-30,66310.35083507905
2021-03-31,66310.35083507905
2021-04-01,66310.35083507905
2021-04-02,66310.35083507905
2021-04-05,66310.35083507905
2021-04-06,66310.35083507905
2021-04-07,66310.35083507905
2021-04-08,66310.35083507905
2021-04-09,66310.35083507905
2021-04-12,66310.35083507905
2021-04-13,66310.35083507905
2021-04-14,66310.35083507905
2021-04-15,66310.35083507905
2021-04-16,66310.35083507905
2021-04-19,66310.35083507905
2021-04-20,66310.35083507905
2021-04-21,66310.35083507905
2021-04-22,66310.35083507905
2021-04-23,66310.35083507905
2021-04-26,66310.35083507905
2021-04-27,66310.35083507905
2021-04-28,66310.35083507905
2021-04-29,66310.35083507905
2021-04-30,66310.35083507905
2021-05-03,66310.35083507905
2021-05-04,66310.35083507905
2021-05-05,66310.35083507905
2021-05-06,66310.35083507905
2021-05-07,66310.35083507905
2021-05-10,66310.35083507905
2021-05-11,66310.35083507905
2021-05-12,66310.35083507905
2021-05-13,66310.35083507905
2021-05-14,66310.35083507905
2021-05-17,66310.35083507905
2021-05-18,66310.35083507905
2021-05-19,66310.35083507905
2021-05-20,66310.35083507905
2021-05-21,66310.35083507905
2021-05-24,66310.35083507905
2021-05-25,66310.35083507905
2021-05-26,66310.35083507905
2021-05-27,66310.35083507905
2021-05-28,66310.35083507905
2021-05-31,66310.35083507905
2021-06-01,66310.35083507905
2021-06-02,66310.35083507905
2021-06-03,66310.35083507905
2021-06-04,66310.35083507905
2021-06-07,66310.35083507905
2021-06-08,66310.35083507905
2021-06-09,66310.35083507905
2021-06-10,66310.35083507905
2021-06-11,66310.35083507905
2021-06-14,66310.35083507905
2021-06-15,66310.35083507905
2021-06-16,66304.55108125774
2021-06-17,66318.3443920909
2021-06-18,66069.83125624144
2021-06-21,66187.11068536718
2021-06-22,65660.09487214043
2021-06-23,65718.86048447932
2021-06-24,66132.55475514151
2021-06-25,66099.5632224319
2021-06-28,66574.87338620423
2021-06-29,66960.6445358461
2021-06-30,66716.41722049253
2021-07-01,66354.77523632656
2021-07-02,66760.25171770467
2021-07-05,66016.60719719973
2021-07-06,65125.631296169944
2021-07-07,64007.63961500408
2021-07-08,63594.14456346351
2021-07-09,62520.510266042525
2021-07-12,63184.546375978076
2021-07-13,63304.06537050243
2021-07-14,63641.672960179094
2021-07-15,63587.22336311004
2021-07-16,63816.05017584508
2021-07-19,63880.88252990475
2021-07-20,63063.78380591221
2021-07-21,63063.78380591221
2021-07-22,63063.78380591221
2021-07-23,63063.78380591221
2021-07-26,63063.78380591221
2021-07-27,63062.89951550846
2021-07-28,63018.26913932496
2021-07-29,62848.253527166344
2021-07-30,62539.67606950169
2021-08-02,62469.583238753774
2021-08-03,62310.791779035506
2021-08-04,62653.3579246722
2021-08-05,62681.18935348447
2021-08-06,62279.51703938701
2021-08-09,61926.18342500366
2021-08-10,61840.315565204226
2021-08-11,61497.48669619701
2021-08-12,61405.65670436201
2021-08-13,61188.37138999488
2021-08-16,61137.81071451964
2021-08-17,61194.26327824174
2021-08-18,61135.79283302911
2021-08-19,61605.66261551568
2021-08-20,61531.561272863204
2021-08-23,62179.81312950652
2021-08-24,62541.21840088862
2021-08-25,62433.566379245516
2021-08-26,62322.41610092138
2021-08-27,62574.08013226973
2021-08-30,62574.08013226973
2021-08-31,62574.08013226973
2021-09-01,62574.08013226973
2021-09-02,62574.08013226973
2021-09-03,62574.08013226973
2021-09-06,62574.08013226973
2021-09-07,62574.08013226973
2021-09-08,62574.08013226973
2021-09-09,62574.08013226973
2021-09-10,62574.08013226973
2021-09-13,62574.08013226973
2021-09-14,62574.08013226973
2021-09-15,62574.08013226973
2021-09-16,62574.08013226973
2021-09-17,62574.08013226973
2021-09-20,62574.08013226973
2021-09-21,62574.08013226973
2021-09-22,62574.08013226973
2021-09-23,62574.08013226973
2021-09-24,62574.08013226973
2021-09-27,62574.08013226973
2021-09-28,62574.08013226973
2021-09-29,62574.08013226973
2021-09-30,62574.08013226973
2021-10-01,62574.08013226973
2021-10-04,62574.08013226972
2021-10-05,62574.08013226972
2021-10-06,62574.08013226972
2021-10-07,62574.08013226972
2021-10-08,62574.08013226972
2021-10-11,62574.08013226972
2021-10-12,62574.08013226972
2021-10-13,62574.08013226972
2021-10-14,62574.08013226972
2021-10-15,62574.08013226972
2021-10-18,62574.08013226972
2021-10-19,62574.08013226972
2021-10-20,62574.08013226972
2021-10-21,62574.08013226972
2021-10-22,62574.08013226972
2021-10-25,62574.08013226972
2021-10-26,62574.08013226972
2021-10-27,62574.08013226972
2021-10-28,62574.08013226972
2021-10-29,62574.08013226972
2021-11-01,62574.08013226972
2021-11-02,62574.08013226972
2021-11-03,62574.08013226972
2021-11-04,62574.08013226972
2021-11-05,62574.08013226972
2021-11-08,62574.08013226972
2021-11-09,62574.08013226972
2021-11-10,62574.08013226972
2021-11-11,62574.08013226972
2021-11-12,62574.08013226972
2021-11-15,62574.08013226972
2021-11-16,62574.08013226972
2021-11-17,62574.08013226972
2021-11-18,62574.08013226972
2021-11-19,62574.08013226972
2021-11-22,62574.08013226972
2021-11-23,62574.08013226972
2021-11-24,62574.08013226972
2021-11-25,62574.08013226972
2021-11-26,62574.08013226972
2021-11-29,62574.08013226972
2021-11-30,62574.08013226972
2021-12-01,62612.980881199735
2021-12-02,62663.80811685343
2021-12-03,62741.116768459586
2021-12-06,62481.23679251096
2021-12-07,62441.27691967309
2021-12-08,62202.78130355249
2021-12-09,62205.214688966975
2021-12-10,62205.60055218733
2021-12-13,62259.41338457163
2021-12-14,62323.603426851645
2021-12-15,62335.67235223145
2021-12-16,62308.15580873327
2021-12-17,62335.769728486426
2021-12-20,62306.70355300439
2021-12-21,62307.30507883486
2021-12-22,62362.90793983802
2021-12-23,62331.469727436044
2021-12-24,62377.897796338184
2021-12-27,62418.52625003565
2021-12-28,62361.91732697602
2021-12-29,62419.39748711736
2021-12-30,62462.681311736844
2021-12-31,62469.83670259436
2022-01-03,62469.83670259436
2022-01-04,62433.384287364446
2022-01-05,62411.61529691265
2022-01-06,62434.2298224497
2022-01-07,62395.233390812566
2022-01-10,62413.20065564376
2022-01-11,62363.69981832892
2022-01-12,62356.362820850336
2022-01-13,62360.996716510854
2022-01-14,62456.676275163976
2022-01-17,62399.002072948555
2022-01-18,62459.04648615109
2022-01-19,62465.997428887276
2022-01-20,62484.32947291739
2022-01-21,62490.084943908434
2022-01-24,62510.39683193603
2022-01-25,62504.00624941966
2022-01-26,62570.67462410257
2022-01-27,62549.38692897019
2022-01-28,62603.76761703318
2022-01-31,62572.53636432636
2022-02-01,62570.22609935047
2022-02-02,62519.70827479498
2022-02-03,62541.13593844767
2022-02-04,62609.98006260591
2022-02-07,62601.25165520255
2022-02-08,62561.05137801916
2022-02-09,62324.800233373026
2022-02-10,62280.38436352305
2022-02-11,61832.46787760027
2022-02-14,61594.797865460874
2022-02-15,61655.76795867698
2022-02-16,62002.10327507675
2022-02-17,63033.31319522855
2022-02-18,62752.49641105898
2022-02-21,63576.01269041287
2022-02-22,63752.25787774889
2022-02-23,63643.7991480674
2022-02-24,64028.631014765786
2022-02-25,64100.386599775185
2022-02-28,64230.08119172718
2022-03-01,63776.53702832397
2022-03-02,62113.57198917668
2022-03-03,60270.10787614908
2022-03-04,61135.796941265005
2022-03-07,60761.854421955
2022-03-08,59900.99503863096
2022-03-09,59932.62921776632
2022-03-10,61235.40899668211
2022-03-11,61572.60900693836
2022-03-14,60389.8627689785
2022-03-15,62731.13786085342
2022-03-16,66062.44463587267
2022-03-17,67239.75779222381
2022-03-18,69683.91234754278
2022-03-21,73064.8686034161
2022-03-22,76439.05330488509
2022-03-23,78446.77959289942
2022-03-24,80526.76234329988
2022-03-25,82448.12563411532
2022-03-28,78361.44722286263
2022-03-29,81016.00948574151
2022-03-30,75927.52948186145
2022-03-31,73138.42605012309
2022-04-01,77732.68018831791
2022-04-04,80820.7287834788
2022-04-05,86502.31116320493
2022-04-06,85463.65759890177
2022-04-07,80985.92559310366
2022-04-08,80131.48331842746
2022-04-11,80556.13449772757
2022-04-12,80896.95942785162
2022-04-13,85230.52065792552
2022-04-14,83855.00253683463
2022-04-15,85275.294315852
2022-04-18,81443.95290985239
2022-04-19,83195.90914822082
2022-04-20,83255.2721751885
2022-04-21,80425.62293817408
2022-04-22,79594.3140583702
2022-04-25,78961.57395395472
2022-04-26,78020.67601943915
2022-04-27,84553.87256586216
2022-04-28,84216.31696873138
2022-04-29,83313.65989889232
2022-05-02,75392.0598696174
2022-05-03,72337.62831197557
2022-05-04,71500.84879904945
2022-05-05,69287.38099694862
2022-05-06,73796.15732462078
2022-05-09,73275.91512959189
2022-05-10,77727.57531187343
2022-05-11,77993.92802347109
2022-05-12,78172.75512893229
2022-05-13,77896.03369496277
2022-05-16,77954.02238397741
2022-05-17,84286.58718416118
2022-05-18,75432.07332373892
2022-05-19,68598.39944242321
2022-05-20,66924.3475716507
2022-05-23,67007.14411263193
2022-05-24,69190.51274219796
2022-05-25,70746.96492621202
2022-05-26,69534.93823818328
2022-05-27,72873.31959105175
2022-05-30,76413.87669401568
2022-05-31,77109.1677586474
2022-06-01,80615.19770956658
2022-06-02,81681.58551939524
2022-06-03,79612.03043994633
2022-06-06,82244.76338964843
2022-06-07,82713.60698683337
2022-06-08,82765.8375468821
2022-06-09,88530.15205176483
2022-06-10,78701.87907627285
2022-06-13,73637.05916587453
2022-06-14,69674.19281421103
2022-06-15,68548.09687337531
2022-06-16,67782.81121038472
2022-06-17,63160.9758785858
2022-06-20,63160.9758785858
2022-06-21,63060.474844445715
2022-06-22,63648.295405882825
2022-06-23,64350.002707476066
2022-06-24,64136.5444995694
2022-06-27,63909.879552561084
2022-06-28,63057.1909614042
2022-06-29,61496.781273050314
2022-06-30,61432.68924501145
2022-07-01,60722.456662298304
2022-07-04,60672.219566390086
2022-07-05,59589.65228413881
2022-07-06,59589.65228413881
2022-07-07,59589.65228413881
2022-07-08,59589.65228413881
2022-07-11,59589.65228413881
2022-07-12,59589.65228413881
2022-07-13,59589.65228413881
2022-07-14,59589.65228413881
2022-07-15,59589.65228413881
2022-07-18,59589.65228413881
2022-07-19,59589.65228413881
2022-07-20,59589.65228413881
2022-07-21,59589.65228413881
2022-07-22,59589.65228413881
2022-07-25,59589.65228413881
2022-07-26,59589.65228413881
2022-07-27,59589.65228413881
2022-07-28,59589.65228413881
2022-07-29,59589.65228413881
2022-08-01,59589.65228413881
2022-08-02,59815.10138926842
2022-08-03,59530.83944647205
2022-08-04,59226.828318831875
2022-08-05,59881.84630720285
2022-08-08,59284.1302592105
2022-08-09,58428.69580575314
2022-08-10,58032.13829097741
2022-08-11,58210.389157112484
2022-08-12,58162.74460781566
2022-08-15,57758.44044241205
2022-08-16,57351.81258643252
2022-08-17,56935.26845480645
2022-08-18,56436.881955103636
2022-08-19,56436.881955103636
2022-08-22,56436.881955103636
2022-08-23,56436.881955103636
2022-08-24,56436.881955103636
2022-08-25,56436.881955103636
2022-08-26,56436.881955103636
2022-08-29,56436.881955103636
2022-08-30,56436.881955103636
2022-08-31,56436.881955103636
2022-09-01,56436.881955103636
2022-09-02,56488.051313840544
2022-09-05,56366.014358692395
2022-09-06,56368.73173391334
2022-09-07,56199.288940658254
2022-09-08,56148.02126917667
2022-09-09,56053.401632345754
2022-09-12,56153.84631665117
2022-09-13,56089.99375266439
2022-09-14,56003.86472648922
2022-09-15,56035.39533169398
2022-09-16,56002.30510823951
2022-09-19,55969.73695487185
2022-09-20,55998.897564721614
2022-09-21,56060.41560830906
2022-09-22,56128.676248528995
2022-09-23,56122.545079854965
2022-09-26,56101.54609094093
2022-09-27,56148.64256992359
2022-09-28,56146.19469127461
2022-09-29,56109.400207447376
2022-09-30,56070.683763850044
